date,location,observer,time,calltype,calltype.simple,birdtype,birdtype.simple,before,behavior1,behavior2,behavior3,after,notes,avisoftfilenum,
4/4/24,Casa 145,Sadoni ,10:57 AM,? & twinkle,twinkle,andro,andro,fly-feeder,fly-away,,,,N/A,N/A,?-sound like eeeuh 
3/4/24,Casa 145,Michelle,5:58 PM,Bell,bell,Hetero,fem,,perch,,,perch,N/A,N/A,I saw the bell on avisoft
25/03/24,Casa 166,Sadoni,4:37 PM,bell,bell,juv,juv,perch,perch,,,fly-feeder,B & D: perched A: flew towards feeders,,
21/03/2024,Casa 145,Michelle,4:06 PM,Bell,bell,Juvenile,juv,NA,perch,,,perch,N/A,5,
31/03/2024,Casa 145,Michelle,6:19 PM,Bell,bell,Juvenile,juv,perch,feed,,,inchase.U,2,,N/A
1/4/24,Casa 131 ,Sadoni ,6:57 AM,bell,bell,Juvenile,juv,,perch,,,perch,N/A,N/A,
2/4/24,Casa 166,Michelle,6:22 PM,Bell,bell,Juvenile,juv,,perch,,,fly-away,"9, 10",N/A,Beak was opening
3/4/24,Casa 145,Michelle,6:04 PM,Bell,bell,Juvenile,juv,,perch,,,fly-feeder,3,N/A,N/A
25/03/24,Casa 131,Michelle,8:53 AM,Bell,bell,Male,andro,perch,perch,,,perch,N/A,8,
22/03/24,Casa 131,Michelle,6:11 PM,Bell?,bell,Juvenile,juv,,chased.ama,,,feed,N/A,N/A,
31/03/2024,Casa 145,Michelle,6:16 PM,Bellcheep,bellcheep,Juvenile,juv,,fly-away,,,perch,N/A,N/A,N/A
31/03/2024,Casa 145,Michelle,6:18 PM,Bellcheep,bellcheep,Juvenile,juv,,perch,,,feed,N/A,N/A,N/A
1/4/24,Casa 166,Michelle,4:25 PM,Cheep,cheep,Andro,andro,,fly-feeder,,,feed,N/A,N/A,I'm not sure if I got confused in my notes or if an actual andro made this sound
2/4/24,Casa 145 ,Sadoni ,9:13 AM,cheep,cheep,andro,andro,,perch,,,perch,1,,sounded like a response to the other andro (previous entry) or vice versa
10/4/24,Casa 131,Sadoni ,5:44 PM,cheep,cheep,andro,andro,,fly-feeder,,,fly-away,,,
21/03/2024,Casa 166,Michelle,5:14 PM,Cheep,cheep,Female,fem,,fly-feeder,,,perch,N/A,6,
21/03/2024,Casa 166,Michelle,5:25 PM,Cheep,cheep,Female,fem,perch,fly-feeder,,,feed,N/A,"6,7",
25/03/24,Casa 131,Michelle,8:00 AM,Cheep,cheep,Female,fem,,fly-feeder,,,feed,N/A,1,
25/03/24,Casa 131,Michelle,8:04 AM,Cheep,cheep,Female,fem,,fly-feeder,,,feed,Rec has a lot of bg noise,2,
25/03/24,Casa 131,Michelle,8:39 AM,Cheep,cheep,Female,fem,,fly-feeder,feed,fly-away,perch,N/A,6,
26/03/24,Casa 166,Michelle,9:15 AM,Cheep,cheep,Female,fem,fly-around,fly-feeder,,,,N/A,7,
26/03/24,Casa 166,Michelle,10:53 AM,Cheep,cheep,Female,fem,,fly-feeder,,,feed,N/A,N/A,
25/03/24,Casa 131,Sadoni ,5:41 PM,cheep,cheep,hetero,fem,,fly-feeder,,,perch,D: flying towards feeder A: perched on feeder ,,
28/03/24,Casa 131,Michelle,7:30 AM,Cheep,cheep,Hetero,fem,feed,chased.A,,,,N/A,N/A,
28/03/24,Casa 131,Michelle,8:17 AM,Cheep,cheep,Hetero,fem,,fly-feeder,,,feed,N/A,N/A,
28/03/24,Casa 131,Michelle,11:02 AM,Cheep,cheep,Hetero,fem,,inchase.A,,,perch,N/A,N/A,
28/03/24,Casa 131,Michelle,11:04 AM,Cheep,cheep,Hetero,fem,,fly-feeder,,,,N/A,N/A,
28/03/24,Casa 145,Sadoni,5:08 PM,cheep,cheep,hetero,fem,,fly-away,,,,D: flying away,,
28/03/24,Casa 145,Sadoni,5:42 PM,cheep,cheep,hetero,fem,feed,fly-away,,,,B: feeding D: flying away,,
28/03/24,Casa 145,Sadoni,6:01 PM,cheep,cheep,hetero,fem,feed,fly-away,,,,B: feeding D: flying away,,
29/03/24,Casa 131,Sadoni ,5:49 PM,cheep,cheep,hetero,fem,,fly-feeder,,,,,,
29/03/24,Casa 131,Sadoni ,6:33 PM,cheep,cheep,hetero,fem,,fly-feeder,,,,,,
1/4/24,Casa 131 ,Sadoni ,6:47 AM,cheep,cheep,Hetero,fem,perch,perch,,,,N/A,N/A,
1/4/24,Casa 166,Michelle,4:38 PM,cheep,cheep,Hetero,fem,,fly-feeder,feed,,fly-away,N/A,N/A,N/A
1/4/24,Casa 166,Michelle,5:04 PM,Cheep,cheep,Hetero,fem,,fly-feeder,,,feed,N/A,N/A,N/A
3/4/24,Casa 166,Sadoni ,6:57 AM,cheep,cheep,hetero,fem,feed,fly-away,,,,,,
3/4/24,Casa 166,Sadoni ,7:10 AM,cheep,cheep,hetero,fem,,fly-feeder,fly-away,,,,,
3/4/24,Casa 166,Sadoni ,7:44 AM,cheep,cheep,hetero,fem,,fly-feeder,,,perch,,,
3/4/24,Casa 166,Sadoni ,8:22 AM,cheep,cheep,hetero,fem,,fly-feeder,,,feed,,,
3/4/24,Casa 166,Sadoni ,8:25 AM,cheep,cheep,hetero,fem,,fly-feeder,,,feed,,,
3/4/24,Casa 166,Sadoni ,8:26 AM,cheep,cheep,hetero,fem,feed,fly-away,,,,,,
4/4/24,Casa 166,Michelle,3:17 PM,Cheep,cheep,Hetero,fem,,fly-feeder,fly-away,,,N/A,N/A,N/A
4/4/24,Casa 166,Michelle,4:52 PM,Cheep,cheep,Hetero,fem,fly-feeder,inchase.A,,,fly-away,9,N/A,N/A
9/4/24,Casa 166,Sadoni ,3:29 PM,cheep,cheep,hetero,fem,,fly-feeder,,,,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,3:55 PM,cheep,cheep,hetero,fem,,fly-feeder,feed,fly-away,,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,4:00 PM,cheep,cheep,hetero,fem,,fly-away,,,,N/A,N/A,N/A
10/4/24,Casa 166,Sadoni ,3:40 PM,cheep,cheep,Hetero,fem,feed,fly-away,,,,,,
10/4/24,Casa 131,Sadoni ,5:21 PM,cheep,cheep,Hetero,fem,,fly-feeder,,,feed,,,
10/4/24,Casa 131,Sadoni ,5:28 PM,cheep,cheep,Hetero,fem,,fly-feeder,,,feeding,,,
26/03/24,Casa 145,Michelle,6:47 AM,Cheep,cheep,Juvenile,juv,perch,perch,,,perch,N/A,"1,2,3",
26/03/24,Casa 145,Michelle,6:47 AM,Cheep,cheep,Juvenile,juv,,inchase.H,,,perch,Looked like it was defending its territory,"4,5",
26/03/24,Casa 145,Michelle,6:46 AM,Cheep?,cheep,Juvenile,juv,perch,fly-around,,,perch,N/A,1,
1/4/24,Casa 166,Michelle,5:24 PM,Cheeps,cheep,Hetero,fem,,chase.A,,,,N/A,N/A,N/A
3/4/24,Casa 166,Sadoni ,6:54 AM,cheeps,cheep,hetero,fem,,fly-feeder,,,feed,,,
3/4/24,Casa 166,Sadoni ,7:16 AM,cheeps,cheep,hetero,fem,,fly-around,,,,,,
3/4/24,Casa 166,Sadoni ,7:55 AM,cheeps,cheep,hetero,fem,,fly-feeder,,,feed,,,
3/4/24,Casa 166,Sadoni ,7:55 AM,cheeps,cheep,hetero,fem,feed,fly-away,,,,,,
9/4/24,Casa 166,Sadoni ,4:19 PM,cheeps,cheep,hetero,fem,,feed,fly-away,,,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,4:56 PM,cheeps,cheep,hetero,fem,,fly-feeder,,,feed,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,5:38 PM,cheeps,cheep,hetero,fem,,fly-feeder,,,feed,N/A,N/A,N/A
22/03/24,Casa 145,Sadoni,7:27 AM,click,click,andro,andro,,feed,fly-away,,,B: feeding D: feeding and flying away,,
22/03/24,Casa 145,Sadoni,8:49 AM,click,click,andro,andro,perch,fly-away,,,,B: perched D: flying away,,
25/03/24,Casa 131,Sadoni ,5:50 PM,click,click,andro,andro,,fly-feeder,,,feed,D: flying towards feeder A: feeding,,
25/03/24,Casa 131,Sadoni ,5:54 PM,click,click,andro,andro,,feed,,,,D:visting feeders,,
25/03/24,Casa 131,Sadoni ,6:09 PM,click,click,andro,andro,,feed,,,fly-away,D: feeding A: flying away,,
25/03/24,Casa 131,Sadoni ,6:24 PM,click,click,andro,andro,,feed,fly-away,,,D: feeding and flying away A: perched,,
26/03/24,Casa 131 ,Sadoni ,2:06 PM,click,click,andro,andro,,fly-feeder,,,fly-away,B: flew towards feeder D: hovering near feeder A: flew away,,
26/03/24,Casa 131 ,Sadoni ,2:11 PM,click,click,andro,andro,,feed,,,fly-away,D: feeding A: flew away,,
26/03/24,Casa 131 ,Sadoni ,2:51 PM,click,click,andro,andro,,feed,,,fly-away,D: feeding A: flew away,,
26/03/24,Casa 131 ,Sadoni ,2:52 PM,click,click,andro,andro,,feed,,,feed,D& A: feeding,,
26/03/24,Casa 131 ,Sadoni ,2:53 PM,click,click,andro,andro,feed,fly-away,,,,B: feeding D: flying away,,
10/4/24,Casa 145,Michelle,7:31 AM,Click,click,Andro,andro,fly-feeder,fly-feeder,,,feed,N/A,N/A,N/A
10/4/24,Casa 145,Michelle,7:52 AM,Click,click,Andro,andro,fly-feeder,feed,fly-away,,,N/A,N/A,N/A
25/03/24,Casa 166,Sadoni,4:29 PM,click,click,andro ,andro,fly-around,fly-around,,,perch,B & D: in flight A: perched,,
25/03/24,Casa 166,Sadoni,3:31 PM,click,click,hetero,fem,,fly-feeder,,,fly-away,D: flying towards feeder A: flew away,,
22/03/24,Casa 145,Sadoni,6:50 AM,click,click,juv.,juv,perch,perch,,,fly-away,"B: perched D:perched, flew away ","Gamboa_H145_240322064821_001, Gamboa_H145_240322064906_002",
1/4/24,Casa 131 ,Sadoni ,7:54 AM,click (trill),trill,Andro,andro,,perch,,,perch,N/A,N/A,
1/4/24,Casa 131 ,Sadoni ,8:48 AM,click (trill),trill,Andro,andro,perch,perch,,,fly-feeder,N/A,N/A,accidentally got short video of it
1/4/24,Casa 131 ,Sadoni ,9:02 AM,click (trill),trill,Andro,andro,,perch,,,chase.U,N/A,N/A,
28/03/24,Casa 131,Michelle,7:00 AM,Clicks,click,Andro,andro,,D: feeding,,,,N/A,N/A,
28/03/24,Casa 131,Michelle,8:11 AM,Clicks,click,Andro,andro,,feed,,,fly-away,N/A,N/A,
1/4/24,Casa 166,Michelle,5:04 PM,Clicks,click,Andro,andro,,fly-feeder,,,fly-away,N/A,N/A,N/A
9/4/24,Casa 131,Michelle,8:35 AM,Clicks,click,Andro,andro,perch,perch,,,perch,N/A,N/A,N/A
21/03/2024,Casa 166,Michelle,5:03 PM,Clicks,click,Female,fem,,fly-feeder,,,,N/A,N/A,
21/03/2024,Casa 166,Michelle,5:17 PM,Clicks,click,Female,fem,,fly-feeder,,,feed,N/A,N/A,
21/03/2024,Casa 166,Michelle,5:36 PM,Clicks,click,Female,fem,feed,fly-away,,,,N/A,11,
21/03/2024,Casa 166,Michelle,6:21 PM,Clicks,click,Female,fem,,feed,,,fly-away,N/A,20,
21/03/2024,Casa 166,Michelle,6:23 PM,Clicks,click,Female,fem,,fly-around,,,feed,N/A,N/A,
26/03/24,Casa 166,Michelle,9:21 AM,Clicks,click,Female,fem,,fly-feeder,,,feed,N/A,N/A,
1/4/24,Casa 166,Michelle,4:42 PM,Clicks,click,Hetero,fem,,fly-feeder,,,feed,N/A,N/A,N/A
